6,4,3,4,4,6,7,11,12,13,14,14,16,16,17,20,20,20,20,23,24,24,27,27,30,30,32,34,36,36
4,7,7,8,-6,-7,4,4,10,11,11,15,15,15,15,16,16,16,16,16,16,19,23,23,23,24,26,26,26,26
7,8,6,7,6,7,8,6,6,7,8,8,11,13,13,13,16,17,18,18,18,20,20,20,20,21,22,22,23,24
5,7,6,4,6,7,7,6,6,8,10,13,17,21,21,21,24,24,25,25,27,28,29,32,33,34,34,35,37,37
6,4,5,-15,6,6,4,7,9,11,11,11,12,12,12,12,12,13,15,16,18,22,22,23,23,25,29,30,30,30
3,4,8,6,4,7,7,7,8,8,8,12,12,12,15,21,23,23,23,26,28,34,37,39,41,42,43,43,44,44
-9,5,4,5,6,7,9,10,10,11,11,12,15,16,16,17,18,18,18,18,20,21,22,22,22,23,23,24,26,27
7,6,-8,7,4,7,6,8,8,9,12,14,17,17,17,18,18,20,21,22,22,24,24,24,24,24,24,24,26,26
6,4,4,6,6,7,4,7,7,7,7,11,11,11,13,13,13,14,15,18,18,19,19,20,22,22,22,26,31,31
8,-13,-8,6,8,8,9,9,10,10,12,13,13,13,14,14,14,15,17,17,18,18,21,23,23,23,24,24,26,27
5,-10,6,5,6,5,8,13,13,13,14,16,16,23,23,25,26,26,27,27,28,32,34,34,35,37,39,43,47,47
6,6,6,3,6,6,7,8,8,13,13,14,15,17,20,21,21,21,21,21,21,21,22,24,24,25,27,32,35,36
5,5,5,6,9,8,8,7,9,10,10,14,16,16,17,17,20,20,21,23,27,27,30,31,31,31,31,31,33,33
7,5,7,7,4,3,3,12,14,14,14,14,14,14,16,23,24,26,26,26,27,28,28,28,29,32,39,39,40,41
4,5,4,5,6,6,9,12,12,18,18,19,20,23,28,29,30,31,32,35,37,38,38,38,38,39,40,40,42,43
5,8,4,4,7,6,4,6,11,15,15,16,19,19,19,21,23,23,24,26,28,28,33,33,33,37,39,39,40,42
6,6,3,6,5,8,7,8,9,9,11,11,11,13,13,14,16,17,17,18,20,20,21,23,24,24,30,35,35,38
7,5,5,6,3,4,10,10,12,13,16,20,21,24,27,29,29,31,32,34,39,46,48,53,57,62,62,64,65,66
-23,12,5,5,6,7,6,7,7,7,8,8,10,11,13,15,15,15,15,15,16,18,19,19,23,24,26,28,28,28
6,5,6,8,8,6,10,11,11,12,12,13,14,14,16,17,17,18,22,23,23,23,24,26,26,26,27,27,28,31
8,6,5,5,5,5,8,9,10,11,12,13,13,13,13,13,14,15,18,18,19,19,20,22,26,26,26,27,28,28
3,3,9,5,9,7,7,8,9,10,12,12,13,16,19,20,22,23,24,27,27,31,31,32,36,39,46,46,50,51
6,4,7,9,7,3,6,12,14,18,23,24,24,24,26,30,30,31,31,32,34,35,35,36,36,36,36,37,39,39
5,7,4,6,6,6,7,8,8,10,11,15,16,21,21,22,22,23,24,26,27,27,29,30,33,33,33,33,33,34
5,-6,3,4,5,8,8,7,7,9,9,9,10,11,12,12,12,12,12,12,12,14,14,15,19,21,21,21,22,22
9,6,7,6,8,5,6,7,9,9,9,9,13,13,13,13,15,17,20,22,22,22,23,24,24,25,25,25,25,26
4,5,5,6,7,8,5,8,9,10,10,11,11,13,14,16,17,20,22,22,23,23,25,26,28,31,33,35,37,41
6,6,6,3,7,6,7,11,12,12,16,19,20,24,26,28,29,29,30,32,32,32,32,35,36,39,39,39,39,39
2,7,4,4,5,5,7,7,8,10,14,17,17,17,17,17,17,19,19,20,22,22,23,23,23,24,27,28,30,31
6,-6,6,4,6,8,5,6,9,9,9,9,10,11,15,17,23,25,29,31,32,35,37,39,41,41,41,41,43,45
8,5,4,7,5,8,10,12,16,17,17,18,27,31,31,32,35,38,39,41,41,41,42,46,49,52,57,57,57,58
6,3,5,5,5,5,6,8,8,8,8,9,12,15,16,23,27,28,28,29,31,32,37,41,46,48,49,52,52,57
5,7,6,7,7,4,5,6,10,10,11,11,12,14,14,15,15,16,16,17,17,20,20,23,23,24,27,29,31,35
